Day,AMPM,Time,Activity,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
8,AM,10:30-11:00,checkin,1,1,1,1,1,1,1,1,1,1,1,1
8,AM,11:00-11:20,talkintro,1,1,1,1,1,1,1,1,1,1,1,1
8,AM,11:20-12:00,team,1,1,1,1,1,1,1,1,1,1,1,1
8,PM,12:00-1:30,groupcomp,1,1,1,1,1,1,1,1,1,1,1,1
8,PM,3:00-3:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
9,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
9,PM,12:00-2:30,dusable,1,1,1,1,1,1,1,1,1,1,1,1
9,PM,2:30-2:55,talkkovar,1,1,1,1,1,1,1,1,1,1,1,1
9,PM,3:00-4:30,pdafternoon,1,1,1,1,1,1,1,1,1,1,1,1
9,PM,4:30-4:45,coffee,1,1,1,1,1,1,1,1,1,1,1,1
9,PM,4:45-5:30,talkstar,1,1,1,1,1,1,1,1,1,1,1,1
12,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
12,PM,12:00-1:30,lunch,1,1,1,1,1,1,1,1,1,1,1,1
12,PM,3:00-3:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
13,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
13,PM,12:00-1:30,lunch,1,1,1,1,1,1,1,1,1,1,1,1
13,PM,3:00-3:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
14,AM,10:00-10:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
14,PM,12:00-1:30,lunch,1,1,1,1,1,1,1,1,1,1,1,1
14,PM,3:00-3:30,coffee,1,1,1,1,1,1,1,1,1,1,1,1
14,PM,5:15-5:45,wrapup,1,1,1,1,1,1,1,1,1,1,1,1
14,PM,5:45-7:30,reception,1,1,1,1,1,1,1,1,1,1,1,1
